TeamName,League,Season,Division,Franchise,Team,W,L,%,Year
Toronto Raptors,,(2018-19),Atlantic Division,Toronto Raptors,TOR,58,24,70.70%,2018
Philadelphia 76ers,,(2018-19),Atlantic Division,Philadelphia 76ers,PHI,51,31,62.20%,2018
Boston Celtics,,(2018-19),Atlantic Division,Boston Celtics,BOS,49,33,59.80%,2018
Brooklyn Nets,,(2018-19),Atlantic Division,Brooklyn Nets,BRK,42,40,51.20%,2018
New York Knicks,,(2018-19),Atlantic Division,New York Knicks,NYK,17,65,20.70%,2018
Milwaukee Bucks,,(2018-19),Central Division,Milwaukee Bucks,MIL,60,22,73.20%,2018
Indiana Pacers,,(2018-19),Central Division,Indiana Pacers,IND,48,34,58.50%,2018
Detroit Pistons,,(2018-19),Central Division,Detroit Pistons,DET,41,41,50.00%,2018
Chicago Bulls,,(2018-19),Central Division,Chicago Bulls,CHI,22,60,26.80%,2018
Cleveland Cavaliers,,(2018-19),Central Division,Cleveland Cavaliers,CLE,19,63,23.20%,2018
Orlando Magic,,(2018-19),Southeast Division,Orlando Magic,ORL,42,40,51.20%,2018
Charlotte Hornets,,(2018-19),Southeast Division,Charlotte Hornets,CHO,39,43,47.60%,2018
Miami Heat,,(2018-19),Southeast Division,Miami Heat,MIA,39,43,47.60%,2018
Washington Wizards,,(2018-19),Southeast Division,Washington Wizards,WAS,32,50,39.00%,2018
Atlanta Hawks,,(2018-19),Southeast Division,Atlanta Hawks,ATL,29,53,35.40%,2018
Denver Nuggets,,(2018-19),Pacific Division,Denver Nuggets,DEN,54,28,65.90%,2018
Portland Trail Blazers,,(2018-19),Pacific Division,Portland Trail Blazers,POR,53,29,64.60%,2018
Utah Jazz,,(2018-19),Pacific Division,Utah Jazz,UTA,50,32,61.00%,2018
Oklahoma City Thunder,,(2018-19),Pacific Division,Oklahoma City Thunder,OKC,49,33,59.80%,2018
Minnesota Timberwolves,,(2018-19),Pacific Division,Minnesota Timberwolves,MIN,36,46,43.90%,2018
Golden State Warriors,,(2018-19),Northwest Division,Golden State Warriors,GSW,57,25,69.50%,2018
Los Angeles Clippers,,(2018-19),Northwest Division,Los Angeles Clippers,LAC,48,34,58.50%,2018
Sacramento Kings,,(2018-19),Northwest Division,Sacramento Kings,SAC,39,43,47.60%,2018
Los Angeles Lakers,,(2018-19),Northwest Division,Los Angeles Lakers,LAL,37,45,45.10%,2018
Phoenix Suns,,(2018-19),Northwest Division,Phoenix Suns,PHO,19,63,23.20%,2018
Houston Rockets,,(2018-19),Southwest Division,Houston Rockets,HOU,53,29,64.60%,2018
San Antonio Spurs,,(2018-19),Southwest Division,San Antonio Spurs,SAS,48,34,58.50%,2018
Memphis Grizzlies,,(2018-19),Southwest Division,Memphis Grizzlies,MEM,33,49,40.20%,2018
New Orleans Pelicans,,(2018-19),Southwest Division,New Orleans Pelicans,NOP,33,49,40.20%,2018
Dallas Mavericks,,(2018-19),Southwest Division,Dallas Mavericks,DAL,33,49,40.20%,2018
