Player,Tm,PER,BPM,VORP,WS,Team Mar,Year
Kermit Washington,BOS,19.3,2.0,0.9,3.6,-1.68,1978
Kim Hughes,NJN,6.8,-0.8,0.3,0.4,-4.89,1978
Ricky Marsh,GSW,8.4,-4.1,-0.5,0.5,0.35,1978
Rudy Tomjanovich,HOU,17.1,-1.9,0.0,1.7,-3.66,1978
Jim Price,DET,13.5,-1.9,0.0,1.2,-1.14,1978
Terry Furlow,CLE,15.5,-2.3,-0.1,1.1,0.45,1978
Curtis Perry,PHO,11.8,-0.6,0.3,1.7,3.02,1978
Nate Williams,GSW,15.0,-3.9,-0.4,1.1,0.35,1978
Slick Watts,SEA,9.3,-2.1,0.0,0.2,1.41,1978
Charles Johnson,WSB,10.3,-2.9,-0.2,0.7,0.7,1978
Gus Gerard,DET,13.2,-2.9,-0.2,1.2,-1.14,1978
Bob Nash,KCK,16.2,-0.5,0.3,2.1,-1.55,1978
Alonzo Bradley,HOU,9.0,-4.6,-0.5,-0.1,-3.66,1978
Cazzie Russell,CHI,11.6,-3.1,-0.2,1.1,-0.79,1978
Slick Watts,NOJ,12.7,-1.1,0.2,0.7,-1.61,1978
T.R. Dunn,POR,11.7,0.0,0.4,1.6,5.56,1978
Kermit Washington,LAL,15.1,-0.3,0.3,1.7,2.37,1978
Harvey Catchings,PHI,11.2,0.0,0.4,1.4,4.36,1978
Darnell Hillman,DEN,12.1,-0.9,0.2,1.3,0.75,1978
Ralph Simpson,DET,11.7,-3.8,-0.3,0.2,-1.14,1978
Kenny Carr,LAL,9.2,-6.2,-0.8,0.0,2.37,1978
Ted McClain,BUF,10.5,-3.0,-0.2,0.5,-3.25,1978
James Edwards,LAL,14.3,-2.9,-0.2,1.2,2.37,1978
Tate Armstrong,CHI,11.1,-4.6,-0.5,0.4,-0.79,1978
Don Chaney,BOS,8.2,-2.8,-0.1,0.4,-1.68,1978
Steve Sheppard,CHI,11.5,-3.3,-0.2,0.8,-0.79,1978
Jim McDaniels,BUF,10.2,-3.5,-0.3,0.5,-3.25,1978
Dave Robisch,LAL,12.6,-2.7,-0.1,1.2,2.37,1978
Bird Averitt,BUF,11.5,-5.2,-0.5,-0.2,-3.25,1978
Earl Tatum,LAL,15.9,0.1,0.3,1.4,2.37,1978
Dick Snyder,CLE,12.0,-3.1,-0.2,0.9,0.45,1978
Phil Jackson,NYK,8.1,-1.8,0.0,0.8,-0.47,1978
C.J. Kupec,HOU,10.0,-3.5,-0.2,0.5,-3.66,1978
Ben Poquette,DET,10.6,-4.9,-0.5,0.6,-1.14,1978
Bob Carrington,IND,12.1,-2.4,-0.1,1.0,-2.13,1978
Nick Weatherspoon,CHI,10.5,-2.4,-0.1,0.6,-0.79,1978
Dave Robisch,IND,13.0,-0.8,0.2,1.1,-2.13,1978
John Shumate,BUF,14.2,0.3,0.3,1.3,-3.25,1978
Ralph Simpson,DEN,8.1,-3.9,-0.3,-0.4,0.75,1978
Al Eberhard,DET,10.0,-2.9,-0.1,0.9,-1.14,1978
Ron Behagen,ATL,15.9,-0.4,0.2,1.2,-0.09,1978
Scott Lloyd,BUF,9.6,-3.4,-0.2,0.6,-3.25,1978
Cliff Pondexter,CHI,11.6,-0.1,0.3,1.0,-0.79,1978
Wilson Washington,NJN,11.9,-3.4,-0.2,0.4,-4.89,1978
